size,material,print,finish,cut,quantity,price,price_num,timestamp,error
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,1,56 ₴,56,2026-04-14T11:33:25.336873,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,200,3137 ₴,3137,2026-04-14T11:33:27.689643,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,3,56 ₴,56,2026-04-14T11:33:27.712417,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1000,6591 ₴,6591,2026-04-14T11:33:27.360680,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,250,3869 ₴,3869,2026-04-14T11:33:29.053629,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,1,88 ₴,88,2026-04-14T11:33:28.059913,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,300,4591 ₴,4591,2026-04-14T11:33:30.399983,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,5,97 ₴,97,2026-04-14T11:33:30.070784,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,500,7354 ₴,7354,2026-04-14T11:33:31.758202,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,1,62 ₴,62,2026-04-14T11:33:30.757430,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,3,88 ₴,88,2026-04-14T11:33:30.437440,
148x210,самоклеючий папір з надсічками,4+0,ламінація матова,плоттер,1000,14139 ₴,14139,2026-04-14T11:33:33.102296,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,1,51 ₴,51,2026-04-14T11:33:31.770492,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,10,139 ₴,139,2026-04-14T11:33:32.772573,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,3,62 ₴,62,2026-04-14T11:33:33.134777,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,5,136 ₴,136,2026-04-14T11:33:33.788710,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,3,86 ₴,86,2026-04-14T11:33:34.479333,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,1,61 ₴,61,2026-04-14T11:33:35.545385,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,3,61 ₴,61,2026-04-14T11:33:36.903584,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,15,175 ₴,175,2026-04-14T11:33:35.484838,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,5,110 ₴,110,2026-04-14T11:33:35.485553,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,10,184 ₴,184,2026-04-14T11:33:35.845389,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,5,82 ₴,82,2026-04-14T11:33:38.266473,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,5,123 ₴,123,2026-04-14T11:33:36.856741,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,10,103 ₴,103,2026-04-14T11:33:39.615072,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,15,227 ₴,227,2026-04-14T11:33:38.925059,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,20,203 ₴,203,2026-04-14T11:33:38.500886,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,10,158 ₴,158,2026-04-14T11:33:38.501796,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,15,124 ₴,124,2026-04-14T11:33:40.990771,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,10,177 ₴,177,2026-04-14T11:33:40.208351,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,20,261 ₴,261,2026-04-14T11:33:41.018815,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,20,145 ₴,145,2026-04-14T11:33:42.334849,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,25,259 ₴,259,2026-04-14T11:33:41.660094,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,15,201 ₴,201,2026-04-14T11:33:41.660846,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,15,244 ₴,244,2026-04-14T11:33:42.366798,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,25,187 ₴,187,2026-04-14T11:33:43.700930,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,25,330 ₴,330,2026-04-14T11:33:43.375545,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,50,427 ₴,427,2026-04-14T11:33:43.706371,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,20,235 ₴,235,2026-04-14T11:33:43.724936,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,50,312 ₴,312,2026-04-14T11:33:45.056334,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,20,289 ₴,289,2026-04-14T11:33:44.710951,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,100,562 ₴,562,2026-04-14T11:33:46.416403,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,50,536 ₴,536,2026-04-14T11:33:46.073504,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,100,759 ₴,759,2026-04-14T11:33:46.074376,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,25,304 ₴,304,2026-04-14T11:33:46.087608,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,150,818 ₴,818,2026-04-14T11:33:47.773246,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,25,355 ₴,355,2026-04-14T11:33:47.444812,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,200,1055 ₴,1055,2026-04-14T11:33:49.121566,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,50,510 ₴,510,2026-04-14T11:33:48.795265,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,150,1116 ₴,1116,2026-04-14T11:33:48.794428,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,100,945 ₴,945,2026-04-14T11:33:48.793474,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,250,1310 ₴,1310,2026-04-14T11:33:50.467541,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,50,621 ₴,621,2026-04-14T11:33:50.156550,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,300,1546 ₴,1546,2026-04-14T11:33:51.818017,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,200,1443 ₴,1443,2026-04-14T11:33:51.505076,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,150,1385 ₴,1385,2026-04-14T11:33:51.505874,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,100,919 ₴,919,2026-04-14T11:33:51.504063,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,500,2531 ₴,2531,2026-04-14T11:33:53.161250,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,100,1167 ₴,1167,2026-04-14T11:33:52.849435,
148x210,самоклеючий папір з надсічками,1+0,ламінація матова,порізка,1000,4988 ₴,4988,2026-04-14T11:33:54.520504,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,200,1788 ₴,1788,2026-04-14T11:33:54.209026,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,250,1794 ₴,1794,2026-04-14T11:33:54.208239,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,150,1359 ₴,1359,2026-04-14T11:33:54.209633,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,1,41 ₴,41,2026-04-14T11:33:56.554286,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,150,1700 ₴,1700,2026-04-14T11:33:55.555879,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,3,41 ₴,41,2026-04-14T11:33:57.904392,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,300,2114 ₴,2114,2026-04-14T11:33:56.901414,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,250,2221 ₴,2221,2026-04-14T11:33:56.900331,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,200,1762 ₴,1762,2026-04-14T11:33:56.902316,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,5,68 ₴,68,2026-04-14T11:33:59.253195,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,200,2221 ₴,2221,2026-04-14T11:33:58.249973,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,10,94 ₴,94,2026-04-14T11:34:00.617651,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,250,2195 ₴,2195,2026-04-14T11:33:59.943536,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,500,3421 ₴,3421,2026-04-14T11:33:59.941612,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,300,2619 ₴,2619,2026-04-14T11:33:59.942667,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,15,121 ₴,121,2026-04-14T11:34:01.961631,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,250,2729 ₴,2729,2026-04-14T11:34:01.291096,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,без порізки,1000,6470 ₴,6470,2026-04-14T11:34:01.994012,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,300,2593 ₴,2593,2026-04-14T11:34:01.993156,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,500,4250 ₴,4250,2026-04-14T11:34:01.994671,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,20,148 ₴,148,2026-04-14T11:34:03.336866,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,300,3225 ₴,3225,2026-04-14T11:34:03.338241,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,25,202 ₴,202,2026-04-14T11:34:04.708596,
148x210,самоклеючий папір з надсічками,4+0,soft touch,порізка,1000,8130 ₴,8130,2026-04-14T11:34:04.350928,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,500,4217 ₴,4217,2026-04-14T11:34:04.350064,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,50,363 ₴,363,2026-04-14T11:34:06.050281,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,500,5086 ₴,5086,2026-04-14T11:34:05.720247,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,100,683 ₴,683,2026-04-14T11:34:07.410581,
148x210,самоклеючий папір з надсічками,4+0,soft touch,без порізки,1000,8064 ₴,8064,2026-04-14T11:34:07.099696,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,150,1016 ₴,1016,2026-04-14T11:34:08.770798,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,1,73 ₴,73,2026-04-14T11:34:07.767688,
148x210,самоклеючий папір з надсічками,4+0,без оздоблення,плоттер,1000,9618 ₴,9618,2026-04-14T11:34:08.441626,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,200,1323 ₴,1323,2026-04-14T11:34:10.120577,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,3,117 ₴,117,2026-04-14T11:34:10.151380,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,250,1655 ₴,1655,2026-04-14T11:34:11.494476,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,1,80 ₴,80,2026-04-14T11:34:10.492247,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,300,1962 ₴,1962,2026-04-14T11:34:12.867216,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,5,163 ₴,163,2026-04-14T11:34:12.507025,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,3,130 ₴,130,2026-04-14T11:34:12.868108,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,500,3235 ₴,3235,2026-04-14T11:34:14.225789,
148x210,самоклеючий папір з надсічками,1+0,soft touch,без порізки,1000,6395 ₴,6395,2026-04-14T11:34:15.601704,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,1,13 ₴,13,2026-04-14T11:34:14.608278,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,1,39 ₴,39,2026-04-14T11:34:14.599241,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,5,182 ₴,182,2026-04-14T11:34:15.258957,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,10,234 ₴,234,2026-04-14T11:34:15.258115,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,1,37 ₴,37,2026-04-14T11:34:18.020136,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,3,13 ₴,13,2026-04-14T11:34:16.977289,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,3,39 ₴,39,2026-04-14T11:34:16.990947,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,3,37 ₴,37,2026-04-14T11:34:19.382250,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,15,326 ₴,326,2026-04-14T11:34:17.992527,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,10,266 ₴,266,2026-04-14T11:34:17.991597,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,без порізки,5,26 ₴,26,2026-04-14T11:34:19.383159,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,5,52 ₴,52,2026-04-14T11:34:19.383848,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,5,47 ₴,47,2026-04-14T11:34:20.724424,
148x210,самоклеючий папір з надсічками,без друку,без оздоблення,порізка,10,58 ₴,58,2026-04-14T11:34:22.082750,
148x210,самоклеючий папір з надсічками,4+0,soft touch,плоттер,15,377 ₴,377,2026-04-14T11:34:21.072780,
148x210,самоклеючий папір з надсічками,4+0,ламінація глянцева,плоттер,20,388 ₴,388,2026-04-14T11:34:21.071779,
148x210,самоклеючий папір з надсічками,1+0,без оздоблення,порізка,10,64 ₴,64,2026-04-14T11:34:21.769983,
