size,material,print,finish,cut,quantity,price,price_num,timestamp,error
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,20,218 ₴,218,2026-04-14T14:22:54.521238,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,250,2637 ₴,2637,2026-04-14T14:22:56.233839,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,100,1029 ₴,1029,2026-04-14T14:22:55.908414,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,20,244 ₴,244,2026-04-14T14:22:55.909260,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,20,308 ₴,308,2026-04-14T14:22:55.906762,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,300,3160 ₴,3160,2026-04-14T14:22:57.593328,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,25,280 ₴,280,2026-04-14T14:22:57.245352,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,500,5247 ₴,5247,2026-04-14T14:22:58.954730,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,150,1520 ₴,1520,2026-04-14T14:22:58.605194,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,25,306 ₴,306,2026-04-14T14:22:58.606011,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,25,389 ₴,389,2026-04-14T14:22:58.610597,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,1000,10467 ₴,10467,2026-04-14T14:23:00.315225,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,200,2010 ₴,2010,2026-04-14T14:23:00.339201,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,50,524 ₴,524,2026-04-14T14:22:59.969216,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,1200,12555 ₴,12555,2026-04-14T14:23:01.669850,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,50,709 ₴,709,2026-04-14T14:23:01.324241,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,50,550 ₴,550,2026-04-14T14:23:01.323189,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,1500,15686 ₴,15686,2026-04-14T14:23:03.025139,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,1700,17775 ₴,17775,2026-04-14T14:23:04.385227,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,250,2498 ₴,2498,2026-04-14T14:23:02.708678,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,100,1005 ₴,1005,2026-04-14T14:23:02.709502,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,100,1031 ₴,1031,2026-04-14T14:23:04.055096,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,100,1349 ₴,1349,2026-04-14T14:23:04.054366,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,2000,20906 ₴,20906,2026-04-14T14:23:05.745995,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,300,2986 ₴,2986,2026-04-14T14:23:05.782853,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,2500,26126 ₴,26126,2026-04-14T14:23:07.094618,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,150,1484 ₴,1484,2026-04-14T14:23:05.806316,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,150,1510 ₴,1510,2026-04-14T14:23:06.760222,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,150,1988 ₴,1988,2026-04-14T14:23:06.761064,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,5000,52224 ₴,52224,2026-04-14T14:23:08.450300,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,500,4922 ₴,4922,2026-04-14T14:23:08.118426,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,10000,104420 ₴,104420,2026-04-14T14:23:09.814065,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,200,1962 ₴,1962,2026-04-14T14:23:09.133347,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,200,2625 ₴,2625,2026-04-14T14:23:09.466374,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,200,1988 ₴,1988,2026-04-14T14:23:09.465462,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,25000,261010 ₴,261010,2026-04-14T14:23:11.174636,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,1000,9749 ₴,9749,2026-04-14T14:23:10.827977,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,250,2438 ₴,2438,2026-04-14T14:23:11.179973,
200x200,самоклеючий папір з надсічками,без друку,ламінація глянцева,плоттер,50000,521993 ₴,521993,2026-04-14T14:23:12.536090,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,250,3268 ₴,3268,2026-04-14T14:23:12.187551,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,250,2471 ₴,2471,2026-04-14T14:23:12.188413,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,300,3908 ₴,3908,2026-04-14T14:23:14.925871,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,300,2913 ₴,2913,2026-04-14T14:23:13.550847,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,1200,11690 ₴,11690,2026-04-14T14:23:13.550071,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,500,6461 ₴,6461,2026-04-14T14:23:16.285605,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,300,2952 ₴,2952,2026-04-14T14:23:14.926653,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,1500,14602 ₴,14602,2026-04-14T14:23:16.287323,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,500,4801 ₴,4801,2026-04-14T14:23:16.286602,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,1000,12826 ₴,12826,2026-04-14T14:23:17.645472,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,1200,15383 ₴,15383,2026-04-14T14:23:19.007524,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,500,4867 ₴,4867,2026-04-14T14:23:18.089960,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,1700,16543 ₴,16543,2026-04-14T14:23:18.672968,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,1000,9508 ₴,9508,2026-04-14T14:23:18.673549,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,1500,19218 ₴,19218,2026-04-14T14:23:20.367180,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,1000,9639 ₴,9639,2026-04-14T14:23:20.372114,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,1700,21774 ₴,21774,2026-04-14T14:23:21.727243,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,1200,11401 ₴,11401,2026-04-14T14:23:21.398046,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,2000,19455 ₴,19455,2026-04-14T14:23:21.383851,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,2000,25610 ₴,25610,2026-04-14T14:23:23.092735,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,1200,11559 ₴,11559,2026-04-14T14:23:22.742553,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,2500,32002 ₴,32002,2026-04-14T14:23:24.453960,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,1500,14240 ₴,14240,2026-04-14T14:23:24.104605,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,2500,24308 ₴,24308,2026-04-14T14:23:24.105593,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,5000,63961 ₴,63961,2026-04-14T14:23:25.810611,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,1500,14437 ₴,14437,2026-04-14T14:23:25.463309,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,10000,127881 ₴,127881,2026-04-14T14:23:27.175296,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,5000,48574 ₴,48574,2026-04-14T14:23:26.844052,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,1700,16133 ₴,16133,2026-04-14T14:23:26.828652,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,25000,319638 ₴,319638,2026-04-14T14:23:28.525304,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,1700,16356 ₴,16356,2026-04-14T14:23:28.187585,
200x200,самоклеючий папір з надсічками,1+0,soft touch,порізка,50000,639235 ₴,639235,2026-04-14T14:23:29.887746,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,2000,18973 ₴,18973,2026-04-14T14:23:29.570495,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,10000,97106 ₴,97106,2026-04-14T14:23:29.569826,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,1,58 ₴,58,2026-04-14T14:23:31.944337,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,2000,19236 ₴,19236,2026-04-14T14:23:30.908070,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,3,87 ₴,87,2026-04-14T14:23:33.309049,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,25000,242702 ₴,242702,2026-04-14T14:23:32.264559,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,2500,23706 ₴,23706,2026-04-14T14:23:32.263819,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,5,116 ₴,116,2026-04-14T14:23:34.668235,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,2500,24035 ₴,24035,2026-04-14T14:23:33.641422,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,10,176 ₴,176,2026-04-14T14:23:36.025069,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,5000,47369 ₴,47369,2026-04-14T14:23:35.330850,
200x200,самоклеючий папір з надсічками,1+0,ламінація матова,без порізки,50000,485362 ₴,485362,2026-04-14T14:23:35.330069,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,15,265 ₴,265,2026-04-14T14:23:37.387762,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,5000,48026 ₴,48026,2026-04-14T14:23:36.689101,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,10000,94696 ₴,94696,2026-04-14T14:23:37.412698,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,20,323 ₴,323,2026-04-14T14:23:38.751279,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,10000,96010 ₴,96010,2026-04-14T14:23:38.774172,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,25,412 ₴,412,2026-04-14T14:23:40.103863,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,плоттер,1,30 ₴,30,2026-04-14T14:23:38.758401,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,25000,236676 ₴,236676,2026-04-14T14:23:39.758461,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,50,764 ₴,764,2026-04-14T14:23:41.461919,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,порізка,25000,239961 ₴,239961,2026-04-14T14:23:41.131314,
200x200,самоклеючий папір з надсічками,1+0,без оздоблення,плоттер,3,44 ₴,44,2026-04-14T14:23:41.489593,
200x200,самоклеючий папір з надсічками,1+0,soft touch,плоттер,100,1469 ₴,1469,2026-04-14T14:23:42.821711,
200x200,самоклеючий папір з надсічками,1+0,ламінація глянцева,без порізки,50000,473310 ₴,473310,2026-04-14T14:23:42.473336,
