size,material,print,finish,cut,quantity,price,price_num,timestamp,error
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,750,6444 ₴,6444,2026-04-14T15:53:37.917945,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,350,4762 ₴,4762,2026-04-14T15:53:38.109169,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,350,4723 ₴,4723,2026-04-14T15:53:38.743537,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,450,6052 ₴,6052,2026-04-14T15:53:39.105504,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,600,5234 ₴,5234,2026-04-14T15:53:40.148006,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1000,8575 ₴,8575,2026-04-14T15:53:40.903014,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,400,5384 ₴,5384,2026-04-14T15:53:41.094131,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,400,5340 ₴,5340,2026-04-14T15:53:41.742917,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,500,6657 ₴,6657,2026-04-14T15:53:42.106793,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,750,6345 ₴,6345,2026-04-14T15:53:43.133262,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,1500,12838 ₴,12838,2026-04-14T15:53:43.905340,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,450,5993 ₴,5993,2026-04-14T15:53:44.095894,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,450,5944 ₴,5944,2026-04-14T15:53:44.724036,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,600,7828 ₴,7828,2026-04-14T15:53:45.099939,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1000,8444 ₴,8444,2026-04-14T15:53:46.143504,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2000,17101 ₴,17101,2026-04-14T15:53:46.916191,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,500,6591 ₴,6591,2026-04-14T15:53:47.090607,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,500,6536 ₴,6536,2026-04-14T15:53:47.739784,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,750,9585 ₴,9585,2026-04-14T15:53:48.105558,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,1500,12641 ₴,12641,2026-04-14T15:53:49.129406,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,2500,21364 ₴,21364,2026-04-14T15:53:49.918984,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,600,7749 ₴,7749,2026-04-14T15:53:50.094027,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,600,7683 ₴,7683,2026-04-14T15:53:50.725672,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1000,12757 ₴,12757,2026-04-14T15:53:51.102679,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,2000,16838 ₴,16838,2026-04-14T15:53:52.153348,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,3000,25625 ₴,25625,2026-04-14T15:53:52.905947,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,750,9486 ₴,9486,2026-04-14T15:53:53.095518,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,750,9404 ₴,9404,2026-04-14T15:53:53.731286,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,1500,19105 ₴,19105,2026-04-14T15:53:54.080906,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,2500,21035 ₴,21035,2026-04-14T15:53:55.139982,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1000,12516 ₴,12516,2026-04-14T15:53:56.724813,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1000,12626 ₴,12626,2026-04-14T15:53:56.105779,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,5000,42676 ₴,42676,2026-04-14T15:53:55.901813,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,1500,18744 ₴,18744,2026-04-14T15:53:58.084423,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,2000,25453 ₴,25453,2026-04-14T15:53:57.053635,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,3000,25231 ₴,25231,2026-04-14T15:53:58.052193,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,1500,18908 ₴,18908,2026-04-14T15:53:58.114251,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,10000,85303 ₴,85303,2026-04-14T15:53:59.049479,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2000,24971 ₴,24971,2026-04-14T15:53:59.458010,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,порізка,2500,31800 ₴,31800,2026-04-14T15:54:00.122835,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,без порізки,5000,42019 ₴,42019,2026-04-14T15:54:01.063746,
210x297,самоклеючий папір з надсічками,4+0,ламінація матова,без порізки,2000,25190 ₴,25190,2026-04-14T15:54:01.111791,
210x297,самоклеючий папір з надсічками,4+0,без оздоблення,порізка,20000,170556 ₴,170556,2026-04-14T15:54:02.061063,
210x297,самоклеючий папір з надсічками,4+0,ламінація глянцева,порізка,2500,31198 ₴,31198,2026-04-14T15:54:02.489918,
